ticker,start_date,end_date
AA,2022-01-01,
AAI,2012-12-01,2013-09-01
AAL,2024-10-01,
AAN,2012-12-01,2021-01-01
AAON,2024-06-01,
AAP,2012-12-01,2016-12-01
AAXN,2019-10-01,2021-04-01
ABMD,2016-12-01,2018-08-01
ACC,2013-11-01,2022-09-01
ACHC,2017-05-01,2025-11-01
ACI,2012-12-01,2015-06-01
ACI,2025-04-01,
ACIW,2012-12-01,2023-12-01
ACM,2012-12-01,2015-06-01
ACM,2015-07-01,
ACV,2012-12-01,2013-09-01
ACXM,2012-12-01,2018-12-01
ADC,2023-03-01,
ADNT,2018-09-01,2024-10-01
ADS,2012-12-01,2015-06-01
ADS,2021-01-01,2022-05-01
ADTN,2012-12-01,2015-06-01
ADVS,2012-12-01,2016-12-01
AEIS,2026-02-01,
AEO,2012-12-01,2022-10-01
AF,2012-12-01,2015-06-01
AFG,2012-12-01,
AGCO,2012-12-01,
AGL,2012-12-01,2013-02-01
AHL,2013-09-01,2019-10-01
AHR,2026-02-01,
AINV,2012-12-01,2015-06-01
AIRC,2021-01-01,2024-07-01
AIT,2024-04-01,
AJG,2012-12-01,2016-12-01
AKRX,2015-06-01,2020-01-01
AKRX,2020-11-01,2021-01-01
ALB,2012-12-01,2016-12-01
ALE,2018-04-01,2026-01-01
ALEX,2012-12-01,2020-12-01
ALGM,2023-01-01,
ALGN,2015-06-01,2017-08-01
ALK,2012-12-01,2016-12-01
ALK,2025-04-01,
ALLY,2023-11-01,
ALSN,2026-08-01,
ALTM,2024-02-01,2025-04-01
ALTR,2024-07-01,2025-04-01
ALV,2023-04-01,
AM,2012-12-01,2013-09-01
AM,2019-11-01,
AMB,2012-12-01,2013-11-01
AMCX,2013-11-01,2021-01-01
AMD,2013-11-01,2017-04-01
AME,2012-12-01,2013-12-01
AMED,2019-10-01,2025-09-01
AMG,2012-12-01,2015-06-01
AMG,2020-11-01,
AMH,2024-04-01,
AMKR,2021-04-01,
AN,2017-09-01,
ANF,2015-06-01,2017-01-01
ANF,2024-08-01,
ANN,2012-12-01,2017-01-01
ANR,2013-09-01,2015-06-01
ANSS,2012-12-01,2017-08-01
AOL,2012-12-01,2017-01-01
AOS,2015-06-01,2017-09-01
APG,2025-07-01,
APOL,2013-11-01,2017-01-01
APPF,2024-04-01,
APPS,2021-10-01,2022-07-01
APY,2018-07-01,2021-02-01
AR,2022-11-01,
ARE,2012-12-01,2017-04-01
ARMK,2023-04-01,
ARO,2012-12-01,2015-06-01
ARRS,2015-06-01,2019-10-01
ARW,2012-12-01,
ARWR,2020-11-01,2025-02-01
ARWR,2026-03-01,
ASB,2015-06-01,
ASBC,2012-12-01,2015-06-01
ASGN,2018-11-01,2026-04-01
ASH,2012-12-01,
ASNA,2012-12-01,2017-01-01
ATGE,2017-11-01,2021-08-01
ATI,2017-01-01,2021-01-01
ATI,2025-04-01,
ATK,2012-12-01,2015-06-01
ATML,2012-12-01,2017-01-01
ATO,2012-12-01,2021-01-01
ATR,2012-12-01,
ATW,2012-12-01,2016-04-01
AVAV,2025-08-01,
AVNS,2018-11-01,2021-06-01
AVNT,2021-02-01,
AVP,2015-06-01,2018-05-01
AVT,2012-12-01,
AVTR,2024-08-01,
AXON,2021-04-01,2023-06-01
AXTA,2023-04-01,
AYI,2012-12-01,2017-01-01
AYI,2018-08-01,
AZPN,2021-06-01,2025-04-01
AZTA,2022-01-01,2024-12-01
BAH,2026-02-01,
BBBY,2017-09-01,2021-01-01
BBG,2012-12-01,2015-07-01
BBWI,2025-04-01,
BC,2015-06-01,
BCO,2012-12-01,2015-06-01
BCO,2017-10-01,
BDC,2015-06-01,
BEAV,2012-12-01,2017-05-01
BEC,2012-12-01,2013-09-01
BERY,2023-07-01,2025-05-01
BEZ,2012-12-01,2013-09-01
BFH,2022-05-01,2022-12-01
BGC,2013-11-01,2015-06-01
BHF,2019-10-01,
BID,2012-12-01,2019-11-01
BID,2020-11-01,2021-01-01
BIG,2013-09-01,2019-10-01
BILL,2025-01-01,
BIO,2012-12-01,2021-01-01
BIO,2024-10-01,
BIVV,2017-03-01,2018-04-01
BJ,2012-12-01,2013-09-01
BJ,2020-11-01,
BKH,2012-12-01,
BKS,2012-12-01,2013-12-01
BLD,2021-03-01,2026-08-01
BLDR,2021-03-01,2024-01-01
BLKB,2017-08-01,2026-07-01
BLUD,2012-12-01,2013-12-01
BMR,2013-11-01,2017-01-01
BMRN,2024-07-01,
BMS,2015-06-01,2019-10-01
BOBE,2012-12-01,2015-06-01
BOH,2012-12-01,2023-08-01
BR,2012-12-01,2018-08-01
BRBR,2022-04-01,2026-07-01
BRCD,2017-01-01,2018-01-01
BRE,2012-12-01,2013-09-01
BRE,2013-11-01,2015-06-01
BRKR,2022-01-01,
BRKS,2021-03-01,2022-01-01
BRO,2012-12-01,2021-10-01
BROS,2026-02-01,
BRX,2019-10-01,
BSY,2025-11-01,
BTSG,2026-08-01,
BTU,2015-06-01,2017-01-01
BUCY,2012-12-01,2013-09-01
BURL,2023-12-01,
BWA,2012-12-01,2013-09-01
BWA,2026-02-01,
BWLD,2015-06-01,2018-03-01
BWXT,2023-07-01,
BXS,2012-12-01,2021-12-01
BYD,2012-12-01,2013-12-01
BYD,2018-04-01,
BYI,2012-12-01,2015-06-01
CAA,2017-01-01,2018-04-01
CAB,2013-09-01,2017-11-01
CABO,2017-01-01,2024-05-01
CACI,2019-10-01,
CADE,2021-12-01,2026-02-01
CAKE,2012-12-01,2021-01-01
CALX,2022-02-01,2024-04-01
CAR,2016-12-01,
CARS,2017-07-01,2019-11-01
CART,2025-02-01,
CASY,2017-01-01,2026-05-01
CATY,2012-12-01,2023-11-01
CAVA,2025-04-01,
CBB,2012-12-01,2013-09-01
CBOE,2013-09-01,2017-04-01
CBRL,2017-01-01,2023-04-01
CBSH,2012-12-01,
CBST,2013-11-01,2015-06-01
CBT,2012-12-01,
CC,2017-02-01,2025-04-01
CCK,2023-07-01,
CCMP,2020-11-01,2022-08-01
CCP,2017-01-01,2017-10-01
CDAY,2020-11-01,2021-10-01
CDE,2026-07-01,
